category,subcategory,date,feedback,score,user_role,license_sku,server_version
Feature Requests,Threading,2020-02-17,Don't show the threads in the main panel,6,user,,5.18.0
Invalid,Invalid,2020-02-17,hello,7,user,,5.18.0
Invalid,Invalid,2020-02-17,good,7,user,,5.17.0
Reliability,Mobile Stability,2020-02-17,"The Windows App crashes regularly when I use the \""react with Emojis\"" feature and I need to restart the mattermost service on the machine.
Also the Mobile app is not a good experience, the mobile web-version works better, which is sad",3,user,E10,5.19.0
Feature Requests,Read Receipts,2020-02-17,implementing this https://mattermost.atlassian.net/browse/MM-8669,2,team_admin,,5.19.0
Feature Requests,Channel Sidebar,2020-02-17,The possibility to delete a complete chat with a person,3,user,,5.17.0
Feature Requests,Voice Messages,2020-02-17,deploy vocal channels pleaaaaaaaaaaaaaaaaase,6,team_admin,,5.17.0
Invalid,Invalid,2020-02-17,idk,7,user,,5.17.0
Invalid,Invalid,2020-02-17,hey,7,user,,5.17.0
Invalid,Invalid,2020-02-17,nothing special,6,team_admin,,5.17.0
Feature Requests,Emoji/GIF Options,2020-02-17,"Well, idk, more memes?",9,user,,5.18.0
Praise,Praise,2020-02-17,"I don't know, I am actually quite happy about it :)",9,team_admin,,5.19.0
Feature Requests,Integrations,2020-02-17,Give us the ability to make surveys !,9,team_admin,,5.19.0
UX Feedback,Translations,2020-02-17,bot could speak french :),9,user,,5.19.0
UX Feedback,UI/UX Polish,2020-02-17,The tool is extremely old-fashioned. For fans of Stranger Things only,2,user,,5.17.0
Feature Requests,Integrations,2020-02-17,"repeating myself but: better web integrations, easy upgrades & backups",8,system_admin,,5.18.0
Feature Requests,Emoji/GIF Options,2020-02-17,we don't have giphy Keyboard and youtube snippet when we send link,0,user,,5.17.0
Invalid,Invalid,2020-02-17,"protect private channels: if I guess the link to a channel, I can access the channel through the web interface, even if the channel is private and I cam not a member of that channel",0,system_admin,,5.17.0
UX Feedback,System Administration,2020-02-17,MAke the fucking system console appear for admin.,5,team_admin,,5.16.0
Feature Requests,Snippets,2020-02-17,"For some reason I cannot copy + paste using keyboard shortcuts in mattermost, and that's super frustrating. 
Would also like the functionality of easily adding code snippets without having to use ``` ```",5,user,,5.17.0
UX Feedback,Group Message UX,2020-02-17,Show how many new messages has in the group,9,user,,5.19.0
Feature Requests,Channel Sidebar,2020-02-17,Be able to display only channels containing new messages would really be great.,6,user,,5.17.0
Feature Requests,Channel Sidebar,2020-02-17,"In public channels, if we could use an uploaded icon instead of this default world wide web icon would be faster to found what channel I am searching",9,team_admin,,5.19.0
UX Feedback,System Administration,2020-02-17,"need to be able to convert private channels to public and vice versa (only one direction is currently supported), as well as archive but not delete channels",7,system_admin,,5.17.0
Praise,Praise,2020-02-17,App update was a great update to using mattermost on phones,9,system_admin,,5.19.0
UX Feedback,Mobile UX,2020-02-17,Something that my user didn't tel me that telegram is better,8,system_admin,,5.17.0
UX Feedback,Translations,2020-02-17,do you have right to left script options?,9,user,,5.19.0
UX Feedback,UI/UX Polish,2020-02-17,"I know that it's not slack, but it is a replacement for slack. So make it a bit slicker, for example, when I want to add an emoji to somebody's comment, I do it, but it only shows up many seconds later or even minutes. And this is on the latest release of Mattermost for macOS.",5,user,,5.15.0
Feature Requests,Integrations,2020-02-17,Integrations / extensions for other Illumina tools are needs. Like opening tickets in Jira/SNOW. Commenting on them etc.,9,user,E20,5.16.0
Feature Requests,Threading,2020-02-17,Collapsible threads :),6,user,E20,5.16.0
Feature Requests,RN Multi-server,2020-02-17,Multiserver support fÃ¶r mobile clients please.,4,user,,5.17.0
UX Feedback,Be Slack,2020-02-16,Be more like slack,4,user,,5.18.0
Feature Requests,Audio/Video Calling,2020-02-16,"Add native support for calls, video calls, screensharing capabilities",10,system_admin,E20,5.16.0
Praise,Praise,2020-02-16,"Can't think of anything, keep up the good work!",10,system_admin,,5.17.0
Invalid,Invalid,2020-02-16,no u,0,user,,5.18.0
UX Feedback,Logout Issues,2020-02-16,Stop logging me out.,6,user,,5.16.0
Praise,Praise,2020-02-15,It works good for me,10,user,,5.16.0
UX Feedback,Documentation,2020-02-15,Better guides on integrations,10,system_admin,,5.17.0
Invalid,Invalid,2020-02-15,Shut up,5,user,,5.19.0
Invalid,Invalid,2020-02-15,okokoko,5,user,,5.19.0
Invalid,Invalid,2020-02-15,ok,5,user,,5.19.0
Reliability,Notifications Reliability,2020-02-15,"notifications on mobile were turned off by default, some of my friends had to turned then on to get them. annoying",9,system_admin,,5.19.0
Invalid,Invalid,2020-02-15,Shut up,5,user,,5.19.0
UX Feedback,Be Slack,2020-02-15,There are too many far better messaging apps.,0,user,,5.17.0
Invalid,Invalid,2020-02-15,no idea yet,7,user,,5.17.0
Feature Requests,Audio/Video Calling,2020-02-14,by adding call feature,0,user,,5.18.0
Feature Requests,Custom Statuses,2020-02-14,"Ability to post my status description, like dates out to office",5,team_admin,E20,5.16.0
UX Feedback,UI/UX Polish,2020-02-14,"It would be really great if you add more features on your services such as stickers, gif etc. And try to upgrade the layout/ design.",7,user,,5.19.0
UX Feedback,Files/Attachments,2020-02-14,I want to see files within a chat... Like on facebook messenger for example,10,system_admin,,5.18.0
UX Feedback,Messaging UX,2020-02-14,give separation for send messages and receive messages,6,user,,5.17.0
Invalid,Invalid,2020-02-14,,7,user,,5.19.0
Invalid,Invalid,2020-02-14,"í”„ë¡œê·¸ëž¨ì—ì„œ ë³µì‚¬ ë¶™ì—¬ë„£ê¸° ì•ˆë˜ëŠ”ê±° ì¡´ë‚˜ë¶ˆíŽ¸í•´ìš” 
It's inconvenient to not copy and paste in the program.",0,user,,5.18.0
Invalid,Invalid,2020-02-14,Welcome,7,user,,5.19.0
UX Feedback,Search UX,2020-02-14,better search,9,user,,5.18.0
Invalid,Invalid,2020-02-14,test,9,user,,5.16.0
Invalid,Invalid,2020-02-14,But not disturbing us with surveys.,10,user,,5.17.0
UX Feedback,Documentation,2020-02-14,explain how it works simply,10,team_admin,,5.17.0
UX Feedback,Files/Attachments,2020-02-14,Make the process of posting images as easy as it is in Slack.,7,team_admin,E20,5.18.0
Invalid,Invalid,2020-02-14,ã…ã„´ã…‡,0,user,,5.18.0
Reliability,Bugs,2020-02-14,"Iterate on issues identified by customer and resolve them quickly with patches. Perform adequate testing on patches before rolling them out. We've add issues with scrolling on the chat window for months, it hasn't been resolved yet",2,user,E20,5.18.0
Invalid,Invalid,2020-02-14,All is ok,10,user,,5.17.0
Praise,Praise,2020-02-14,i like mattermost a lot! But i also just am not in conversations necessarily where I would be able to recommend it as much i feel like? But I do love it and talk about it,5,user,E20,5.16.0
Invalid,Invalid,2020-02-14,:roll_eyes:,9,user,,5.18.0
UX Feedback,System Administration,2020-02-14,"bug with setting up email, error messages need to be clearer",4,system_admin,,5.18.0
Feature Requests,Custom Statuses,2020-02-14,please add custom status,8,team_admin,,5.19.0
Invalid,Invalid,2020-02-14,Don't know,10,user,,5.17.0
Invalid,Invalid,2020-02-14,do nothing,10,team_admin,E20,5.18.0
Reliability,Bugs,2020-02-14,"moving from screen to screen makes it resize into a strange shape. Both my monitors are 4k but one is smaller (but the magnification is adjusted). Other applications like explorer, works fine.",5,user,E20,5.16.0
Invalid,Invalid,2020-02-14,#NAME?,6,system_admin,,5.19.0
UX Feedback,Notifications UX,2020-02-14,"If a notification has been read on a desktop client, could you make sure it doesn't pop up on the smartphone app?",5,user,E20,5.16.0
Feature Requests,Threading,2020-02-14,slack like threads,8,user,E10,5.17.0
UX Feedback,Be Slack,2020-02-14,Make everything like Slack,5,team_admin,E20,5.16.0
Invalid,Invalid,2020-02-14,Please address the suggestions I gave you last time!,2,user,,5.14.0
UX Feedback,Files/Attachments,2020-02-14,"clicking on a picture to zoom in, and clicking on it again to download is kind of annoying. not sure if theres a setting for that, but there should be if not. It should at least confirm if you want to download it or not. sometimes pics have multiple levels of zoom, so thats why i try clicking again.",8,user,,5.19.0
Feature Requests,Channel Sidebar,2020-02-14,need to be able to group all unread messages together so I don't have to search through a giant list of contacts to find the people that have texted me recently,5,user,E20,5.16.0
Invalid,Invalid,2020-02-14,none,5,user,E20,5.16.0
Feature Requests,Channel Sidebar,2020-02-14,Why are direct messages arranged alphabetically?,5,user,E20,5.16.0
Feature Requests,Channel Sidebar,2020-02-13,you should arrange the contacts and chat groups in the order of most recent conversations first,7,user,,5.18.0
UX Feedback,Performance,2020-02-13,it crashes my computer often (hogs CPU) and has a cumbersome interface,2,user,E20,5.16.0
UX Feedback,UI/UX Polish,2020-02-13,Add some fancyness,7,team_admin,,5.17.0
Invalid,Invalid,2020-02-13,1) Not sending me bot messages I didn't ask for. 2) Ability to block surveybot,8,user,E10,5.16.0
Feature Requests,Read Receipts,2020-02-13,https://mattermost.uservoice.com/forums/306457-general/suggestions/12595398-read-receipts-implement-a-visual-indication-for-m,6,team_admin,,5.19.0
UX Feedback,Notifications UX,2020-02-13,Display obvious new message notifications in Ubuntu 16,6,user,,5.17.0
UX Feedback,Notifications UX,2020-02-13,I do not know when I receive a message on mattermost ...,6,user,,5.19.0
UX Feedback,Desktop UX,2020-02-13,by making linux app,8,user,,5.18.0
UX Feedback,Documentation,2020-02-13,how do i use mattermost better,5,user,,5.18.0
Invalid,Invalid,2020-02-13,hellow,5,user,,5.18.0
Invalid,Invalid,2020-02-13,Ver,9,user,,5.19.0
Feature Requests,Channel Sidebar,2020-02-13,creating a new conversation is uncomfortable. In the first moment you don't know where to find your colleagues.,6,user,E10,5.15.0
Invalid,Invalid,2020-02-13,Ich wÃ¼nsche mir eine Mitteilung an/auf meinem PC bei neuer Nachricht.. :smiley:,6,user,E10,5.15.0
UX Feedback,Logout Issues,2020-02-13,do not disconnect me from my account every week.,9,user,,5.19.0
Reliability,Mobile Stability,2020-02-13,"More up to date (2020) themes, video conf and screen sharing integration, the mobile application has some issues as well.",7,system_admin,,5.18.0
Praise,Praise,2020-02-13,it's all OK for me,10,user,,5.18.0
Invalid,Invalid,2020-02-13,Sa cresti mare!,7,system_admin,,5.18.0
Invalid,Invalid,2020-02-13,"Dunno, but I don't feel it Pally",7,user,,5.17.0
Invalid,Invalid,2020-02-13,fewer surveys,10,user,,5.19.0
UX Feedback,Messaging UX,2020-02-13,It will be more simple if i can follow more thant one conversation in the same time,8,team_admin,,5.17.0
UX Feedback,Notifications UX,2020-02-13,Be able to control the automatic email notifications or turn them off,2,user,E20,5.16.0
Reliability,Mobile Stability,2020-02-13,"I have a problem with upload files, Time in the app Android",9,user,,5.19.0
UX Feedback,Notifications UX,2020-02-13,add the /remind option also fix where messages arrive. some i get by email when i have the client open on my laptop,2,user,E20,5.16.0
Invalid,Invalid,2020-02-13,dsf,8,user,,5.18.0
Invalid,Invalid,2020-02-13,yes,7,system_admin,,5.18.0
Invalid,Invalid,2020-02-13,adsf,8,user,,5.18.0
Invalid,Invalid,2020-02-13,clear,8,user,,5.18.0
Invalid,Invalid,2020-02-13,Es bastante operativo y prÃ¡ctico...cuando tenga mÃ¡s uso del mismo podrÃ© responder a su pregunta. Personalmente estoy conforme. SÃ³lo evaluÃ© con 9 porque no hay nada perfecto. Y porque me gustarÃ­a que la comunicaciÃ³n sea en castellano/ espaÃ±ol ya es nuestro idioma. Gracias.,9,user,,5.19.0
Invalid,Invalid,2020-02-13,STOP,2,user,E20,5.16.0
Praise,Praise,2020-02-13,Just keep it up :),10,user,,5.17.0
Reliability,Bugs,2020-02-13,IT doesnt always work - for example /bluejeans doesnt create a bluejeans link and just gives an error that the service is not available,2,user,E20,5.16.0
Invalid,Invalid,2020-02-12,5,6,team_admin,E20,5.16.0
Feature Requests,Read Receipts,2020-02-12,there is no read receipts,0,system_admin,,5.18.0
Invalid,Invalid,2020-02-12,Improve your app,5,system_admin,,5.18.0
Invalid,Invalid,2020-02-12,Iâ€™m good,10,user,,5.16.0
Invalid,Invalid,2020-02-12,"{
\""gitlens.advanced.messages\"": {
\""suppressShowKeyBindingsNotice\"": true
},
\""workbench.startupEditor\"": \""newUntitledFile\"",
\""terminal.integrated.shell.windows\"": \""C:\\Program Files\\Git\\bin\\bash.exe\"",
\""typescript.updateImportsOnFileMove.enabled\"": \""always\"",
\""window.zoomLevel\"": 0,
\""cSpell.userWords\"": [
\""Kambara\"",
\""Masako\"",
\""Persol\""
]
}",10,user,,5.18.0
UX Feedback,Notifications UX,2020-02-12,"If it is possible to receive push notification for new message also from the group chats,not only from the personal communications",10,user,,5.15.0
UX Feedback,Notifications UX,2020-02-12,notifications can be more effective,7,user,E20,5.18.0
Invalid,Invalid,2020-02-12,Adding the possibility to make surveys (how you do it? :open_mouth:) and typical random answers from trigger words (like a concurrent of you does),6,team_admin,,5.19.0
Invalid,Invalid,2020-02-12,"I don't know, I use it not very often.",8,user,,5.17.0
Feature Requests,Share Message,2020-02-12,Add forward and resend messages from one channel to another,9,user,,5.13.0
Feature Requests,Emoji/GIF Options,2020-02-12,add giphy,4,team_admin,,5.17.0
Invalid,Invalid,2020-02-12,few things r good in rocketchats,9,system_admin,,5.19.0
Invalid,Invalid,2020-02-12,Ð²Ð¾Ð·Ð¼Ð¾Ð¶Ð½Ð¾ÑÑ‚ÑŒ Ð¿Ñ€Ð¾Ð»Ð¸ÑÑ‚Ð¾Ð²Ð°Ñ‚ÑŒ Ð½ÐµÐ¿Ñ€Ð¾Ñ‡Ð¸Ñ‚Ð°Ð½ÑƒÑŽ Ð¸ÑÑ‚Ñ€Ð¾Ñ€Ð¸ÑŽ ÐºÐ°Ð½Ð°Ð»Ð° Ð¾Ð´Ð½Ð¸Ð¼ ÐºÐ»Ð¸ÐºÐ¾Ð¼ Ðº Ð¿Ð¾ÑÐ»ÐµÐ´Ð½ÐµÐ¼Ñƒ,7,user,,5.17.0
Praise,Praise,2020-02-12,"Hello, 10",4,user,,5.17.0
Reliability,Notifications Reliability,2020-02-12,Notification Chrome,8,user,,5.19.0
Praise,Praise,2020-02-12,it's pretty good,10,user,,5.18.0
Reliability,Desktop Stability,2020-02-12,Mattermost gives me a blank screen when told to start with windows. I have to quit mattermost then relaunch it,5,system_admin,,5.17.0
Invalid,Invalid,2020-02-12,"ì•ˆë…•í•˜ì„¸ìš”.
ìµœì†¡í¬ ìž…ë‹ˆë‹¤.

MO ì¹´í…Œê³ ë¦¬ ë ˆì´ì–´ ìƒë‹¨ë¶€ë¶„ ë³€ê²½ ìž‘ì—…ê³¼ ë‚´ë¶€ê²€ìˆ˜ ì™„ë£Œë˜ì–´ ê³µìœ ë“œë¦½ë‹ˆë‹¤.

[ì¶”ê°€ ë³€ê²½ëœ ë‚´ìš©]
- ìƒë‹¨ì˜ì—­ 
ï¬ SB-PFM-SD-50043_logoff_banner (ë¡œê·¸ì¸ëœ í™”ë©´)

- BRAND í™”ë©´ í—¤ë” ìœ ì§€ (ë©”ì¸í—¤ë”) 
ï¬ SB-PFM-SD-50003
ï¬ SB-PFM-SD-50006

í¼ë¸” ì‚°ì¶œë¬¼ì€ _premiumMall ë¸Œëžœì¹˜ì—ì„œ í™•ì¸ë¶€íƒë“œë¦½ë‹ˆë‹¤.

ê°ì‚¬í•©ë‹ˆë‹¤.
ìµœì†¡í¬ ë“œë¦¼.",4,user,,5.14.0
Feature Requests,Share Message,2020-02-12,A button to forward message,8,user,,5.17.0
UX Feedback,Group Message UX,2020-02-12,could you please add the option to create a groupe for sending a message,4,user,,5.17.0
Invalid,Invalid,2020-02-12,I don't know.,10,user,,5.17.0
Invalid,Invalid,2020-02-12,give me money,10,user,,5.16.0
UX Feedback,Mobile UX,2020-02-12,Mobile application,4,team_admin,,5.17.0
UX Feedback,Files/Attachments,2020-02-12,Better support how file sharing,6,team_admin,E20,5.16.0
Invalid,Invalid,2020-02-12,no,4,user,,5.17.0
Invalid,Invalid,2020-02-12,wtf?,0,system_admin,,5.17.0
Invalid,Invalid,2020-02-12,create an Application for mobile phones,9,user,,5.18.0
Feature Requests,Threading,2020-02-12,"help organise threads : group them, put ahead thoose with messages,",4,team_admin,,5.17.0
Feature Requests,Mark as Unread,2020-02-12,If there would be an â€žmark as unreadâ€œ function like in Whatsapp,9,user,E10,5.19.0
UX Feedback,Onboarding,2020-02-12,"Put the \""send invite\"" link back.",6,team_admin,E20,5.16.0
Feature Requests,Audio/Video Calling,2020-02-12,Adding the feature to share screens,6,team_admin,E20,5.16.0
Reliability,Desktop Stability,2020-02-12,Doesn't always load well on desktop,6,user,,5.19.0
Invalid,Invalid,2020-02-12,hum nope,10,user,,5.18.0
Invalid,Invalid,2020-02-12,9,9,user,,5.18.0
Invalid,Invalid,2020-02-12,"Stop pushing the Survey on me, the service is cool tho",0,system_admin,,5.19.0
Invalid,Invalid,2020-02-12,De nada amigo surveybot!,9,user,,5.18.0
UX Feedback,Account Authorization,2020-02-12,Login is onerous,6,user,E20,5.16.0
UX Feedback,Search UX,2020-02-12,"searching improvements, android multi server support",7,user,,5.19.0
Feature Requests,Audio/Video Calling,2020-02-12,able to use the phone call,6,user,E20,5.16.0
Invalid,Invalid,2020-02-12,Biggest issue is that not everyone on our company is using mattermost so we have multiple tools. Not really a mattermost issue,6,team_admin,E20,5.16.0
Invalid,Invalid,2020-02-12,stop sending surveys,9,user,,5.17.0
Invalid,Invalid,2020-02-11,na,10,user,E20,5.16.0
UX Feedback,Notifications UX,2020-02-11,more notification sound options,8,user,,5.19.0
Feature Requests,Audio/Video Calling,2020-02-11,Enable telephone calls,4,user,,5.14.0
UX Feedback,Messaging UX,2020-02-11,"smarter emoji search. For example. When i type :thu it will show thumbsdown as the first option. which makes sense if I am an alphabet. But most people tend to be searching for thumbsup first, not down.",9,system_admin,,5.19.0
Invalid,Invalid,2020-02-11,hi?,10,user,,5.19.0
UX Feedback,Notifications UX,2020-02-11,i can't show new message notice or alarm so plz make another alarm or notice,3,user,,5.14.0
Invalid,Invalid,2020-02-11,It is basically all fine ;),9,user,,5.18.0
Feature Requests,Threading,2020-02-11,"I think that the reply feature could look a little cleaner. Also, the search function: you have to click very specifically on it, otherwise when you start typing, it puts the writing in the chat you were just in.",10,user,,5.18.0
Invalid,Invalid,2020-02-11,Less bots.,10,user,,5.17.0
Invalid,Invalid,2020-02-11,liven up the chat. most of the time it is very quiet in chat.,4,user,,5.14.0
UX Feedback,Notifications UX,2020-02-11,"It would be nice to have a notification that flash in the corner, like the one when you get a new mail. It pop up on the screen.",10,user,,5.18.0
Invalid,Invalid,2020-02-11,"openFilter(e) {
e.target.classList.toggle('active')
e.target.parentNode.nextSibling.classList.toggle('on')
},
selectedSpot(e) {
let buttonParent = e.currentTarget.parentNode

let spotList = document.body.querySelectorAll('.smartPickSlideCard > li')
if (!buttonParent.classList.contains('selected')) {
spotList.forEach(el => el.classList.remove('selected'))
buttonParent.classList.add('selected')
}
}",3,user,,5.14.0
UX Feedback,Notifications UX,2020-02-11,better themes. Notifications tones.,0,user,,5.18.0
Feature Requests,Custom Statuses,2020-02-11,Add away messages; make it easier to create channels with members from different parts of the org,10,user,E20,5.16.0
Feature Requests,RN Multi-server,2020-02-11,Multiple organization in accessable from the app.,10,system_admin,,5.19.0
Invalid,Invalid,2020-02-11,what is your name?,10,user,,5.19.0
UX Feedback,Be Slack,2020-02-11,Copy Slack features faster!,10,team_admin,,5.17.0
Invalid,Invalid,2020-02-11,clear,10,user,,5.19.0
Invalid,Invalid,2020-02-11,boh,4,user,,5.14.0
UX Feedback,Notifications UX,2020-02-11,"show a text of messages when mobile screen is locked instead \""user X post a message\""",5,user,,5.18.0
UX Feedback,Performance,2020-02-11,faster performance in the mobile app. Loading conversations takes too much time.,4,user,E10,5.19.0
UX Feedback,Performance,2020-02-11,For some reason it take a while for images to load or messages to be received,0,user,,5.18.0
Feature Requests,RN Multi-server,2020-02-11,It would be great to have a mobile client capable of interacting with multiple instances of mattermost. And we look forward for the XiVO-Mattermost integration ;-),9,system_admin,,5.17.0
Invalid,Invalid,2020-02-11,buh,4,user,,5.14.0
Invalid,Invalid,2020-02-11,Stop bothering me,10,user,E20,5.16.0
Invalid,Invalid,2020-02-11,Flithy robot,10,user,E20,5.16.0
UX Feedback,Files/Attachments,2020-02-11,File sending does not perform well,8,user,,5.14.0
UX Feedback,Desktop UX,2020-02-11,native desktop application,2,user,,5.17.0
UX Feedback,Group Message UX,2020-02-11,make it easy to add a person to the conversation without starting a new one,10,user,E20,5.16.0
Invalid,Invalid,2020-02-11,"Nothing comes to mind,",10,user,E20,5.16.0
Invalid,Invalid,2020-02-11,all good,10,user,E20,5.18.0
Feature Requests,Integrations,2020-02-11,Include a music bot like in slack,10,user,,5.17.0
Feature Requests,Emoji/GIF Options,2020-02-11,Add the Giphy extension,0,user,,5.18.0
Feature Requests,Audio/Video Calling,2020-02-11,video chat capabilities,9,user,,5.17.0
UX Feedback,Logout Issues,2020-02-11,Do not disconnect my login!,3,user,,5.19.0
UX Feedback,UI/UX Polish,2020-02-11,we need well ux,7,user,,5.13.0
Feature Requests,Channel Sidebar,2020-02-11,"The context view for different teams is very confusing (there should be an easy way to view channels for an individual without nesting them within different teams), and I don't like that new messages pop to the top in mobile, since sometimes I'll see an alert from \""Tom\"", I'll scroll all the way down to Tom, but his message is now at the top.",10,user,E20,5.16.0
Praise,Praise,2020-02-11,The experience is Great so far,0,user,,5.18.0
UX Feedback,UI/UX Polish,2020-02-10,Make mobile integration easier and UI easier,6,system_admin,,5.19.0
UX Feedback,Search UX,2020-02-10,Allow search function within the pinned posts.,8,team_admin,E20,5.16.0
Feature Requests,Integrations,2020-02-10,integration of some conference call software,7,user,,5.18.0
Reliability,Desktop Stability,2020-02-10,windows apps can't launch when laptop startup.,8,team_admin,E20,5.16.0
Invalid,Invalid,2020-02-10,https://mcatcher.github.io/2018/01/29/hasclass.html,10,user,,5.14.0
UX Feedback,Messaging UX,2020-02-10,can we have a jump to recent messages button?,7,user,,5.18.0
UX Feedback,Notifications UX,2020-02-10,Notifications should stay in ubuntu 18.04. They disappear after 10s,9,user,,5.17.0
Invalid,Invalid,2020-02-10,Nothing.,7,user,,5.18.0
Invalid,Invalid,2020-02-10,Stop sending me surveys.,8,system_admin,,5.16.0
UX Feedback,Be Slack,2020-02-10,You can't...I prefer Slack,7,user,,5.18.0
Invalid,Invalid,2020-02-10,Availability,7,user,,5.18.0
Reliability,Desktop Stability,2020-02-10,Blank page on client at boot time (not clean startup),8,team_admin,,5.17.0
UX Feedback,Logout Issues,2020-02-10,Implement connexion retry at startup rather than erasing credentials,8,team_admin,,5.17.0
Invalid,Invalid,2020-02-10,https://stackoverflow.com/questions/5085567/what-is-the-hasclass-function-with-plain-javascript,10,user,,5.14.0
Invalid,Invalid,2020-02-10,"ÐŸÑ€Ð¸Ð²ÐµÑ‚, Surveybot!
Ð–ÐµÐ»Ð°ÑŽ Ñ‚ÐµÐ±Ðµ Ð¿Ñ€Ð¾Ð´ÑƒÐºÑ‚Ð¸Ð²Ð½Ð¾Ð³Ð¾ Ð´Ð½Ñ. Ð¯ ÑƒÐ²ÐµÑ€ÐµÐ½ Ñ‡Ñ‚Ð¾ Ñ‚Ñ‹ ÑÑ‚Ð°Ð½ÐµÑˆÑŒ ÑÐµÐ³Ð¾Ð´Ð½Ñ ÐµÑ‰Ðµ Ð½ÐµÐ¼Ð½Ð¾Ð³Ð¾ ÐºÑ€ÑƒÑ‡Ðµ Ñ‡ÐµÐ¼ Ð²Ñ‡ÐµÑ€Ð°! (Ñ‚Ð°Ðº Ð½Ð°Ð¿Ð¸ÑÐ°Ð» Ð¼Ð¾Ð¹ Ñ€Ð°Ð·Ñ€Ð°Ð±Ð¾Ñ‚Ñ‡Ð¸Ðº) ;)

> Ð¨Ð¸Ñ€Ð¾Ñ‚Ð° ÑƒÐ¼Ð°, ÑÐ¸Ð»Ð° Ð²Ð¾Ð¾Ð±Ñ€Ð°Ð¶ÐµÐ½Ð¸Ñ Ð¸ Ð°ÐºÑ‚Ð¸Ð²Ð½Ð¾ÑÑ‚ÑŒ Ð´ÑƒÑˆÐ¸ â€” Ð²Ð¾Ñ‚ Ñ‡Ñ‚Ð¾ Ñ‚Ð°ÐºÐ¾Ðµ Ð³ÐµÐ½Ð¸Ð¹. 
> _Ð”ÐµÐ½Ð¸ Ð”Ð¸Ð´Ñ€Ð¾_",0,user,,5.18.0
UX Feedback,Files/Attachments,2020-02-10,It would be a great thing if i could open a preview of the files attached (now i can only download them).,9,user,,5.18.0
Reliability,Message and Network Reliability,2020-02-10,By letting the app give better feedback when there are network problems.,7,user,,5.18.0
Invalid,Invalid,2020-02-10,nope,4,system_admin,,5.14.0
Invalid,Invalid,2020-02-10,:+1:,8,user,,5.16.0
Invalid,Invalid,2020-02-10,Who is this going to?,10,system_admin,,5.19.0
Invalid,Invalid,2020-02-10,Provide free chicks,10,system_admin,,5.18.0
Invalid,Invalid,2020-02-10,9,7,user,,5.18.0
Feature Requests,Mark as Unread,2020-02-10,Have a way to flag read messages as unread,7,user,,5.15.0
Invalid,Invalid,2020-02-10,none at this moment,10,user,,5.18.0
Feature Requests,Snippets,2020-02-10,Better support for coding share and fileshare,7,team_admin,,5.13.0
UX Feedback,Mobile UX,2020-02-10,Better mobile app,7,user,,5.17.0
Feature Requests,Emoji/GIF Options,2020-02-10,Add GIFs,7,user,,5.18.0
Praise,Praise,2020-02-10,keep up the good work,10,user,,5.18.0
UX Feedback,Performance,2020-02-10,faster,5,user,E20,5.18.0
Praise,Praise,2020-02-10,"Not really much to do. It is very convenient, easy to use.",9,user,,5.17.0
Feature Requests,Emoji/GIF Options,2020-02-10,Better gifs,8,user,E20,5.16.0
Invalid,Invalid,2020-02-10,10,3,user,,5.18.0
Invalid,Invalid,2020-02-10,8,8,user,E20,5.16.0
UX Feedback,Search UX,2020-02-10,I have trouble finding stuff here -- search is too generic -- and I can never remember what was in my email vs here in mattermost. It's a good chat system,8,team_admin,E20,5.16.0
Invalid,Invalid,2020-02-10,Don't know maybe you guys should look other apps,5,user,,5.18.0
Feature Requests,Channel Sidebar,2020-02-10,The plus sign next to the public channels and private channels should allow you to search for existing channels in addition to creating new channels,8,user,E20,5.16.0
Invalid,Invalid,2020-02-10,no idea,8,user,,5.17.0
Feature Requests,Emoji/GIF Options,2020-02-10,GIF emotes :D,7,user,,5.18.0
Feature Requests,Emoji/GIF Options,2020-02-10,more gifs,8,team_admin,E20,5.16.0
UX Feedback,Miscellaneous UX,2020-02-10,No hot key to switch between teams,8,team_admin,E20,5.16.0
Feature Requests,Channel Sidebar,2020-02-10,Be able to form groups of direct messages and reorder them so the most important people are at the top. Alphabetical order is not that useful,8,user,E20,5.16.0
UX Feedback,Desktop UX,2020-02-10,"Is there a standalone app? If there is, it hasn't been made clear to me.",9,user,,5.17.0
Invalid,Invalid,2020-02-10,I dont know,7,user,,5.16.0
UX Feedback,Notifications UX,2020-02-10,Better message alert for desktop. Current message notification is not bold enough to get attention when minimized on taskbar,5,user,,5.15.0
Invalid,Invalid,2020-02-10,Ok,7,user,,5.16.0
UX Feedback,Onboarding,2020-02-10,onboarding isn't as easy as it could be,7,user,,5.18.0
UX Feedback,Messaging UX,2020-02-10,please bring back the where the chat was left at line,8,user,E20,5.16.0
Feature Requests,Threading,2020-02-10,"Nest replies to a post in threads, not just in the main channel chronologically",3,user,E10,5.14.0
UX Feedback,Messaging UX,2020-02-10,less cluttered boards,8,user,E20,5.16.0
Invalid,Invalid,2020-02-10,9,10,team_admin,,5.19.0
Reliability,Desktop Stability,2020-02-10,"When the program first opens up, it always tries to go to the last conversation, but the conversation is just a white screen. It would be better if it went to a \""home\"" page.",8,user,E20,5.16.0
Feature Requests,Integrations,2020-02-10,"Better integration with the corp apps: Outlook, Confluence, Jira
Security compliance like Jabber",8,team_admin,E20,5.16.0
Invalid,Invalid,2020-02-10,Its good,10,user,,5.16.0
Reliability,Desktop Stability,2020-02-10,maybe an out of browser desktop application,10,user,,5.18.0
